NC,Bezeichnung,NUF,bezeichnung_no_special_ch,concat_text
111,wohnräume,NUF_1,wohnraume,wohnräume | wohnraume
331,materialprüf-/ materialbearbeitungslabor,NUF_3,materialpruf-/ materialbearbeitungslabor,materialprüf-/ materialbearbeitungslabor | materialpruf-/ materialbearbeitungslabor
33111,technologisches labor,NUF_3,technologisches labor,technologisches labor | technologisches labor
33112,technologisches labor mit erhöhten anforderungen,NUF_3,technologisches labor mit erhohten anforderungen,technologisches labor mit erhöhten anforderungen | technologisches labor mit erhohten anforderungen
33113,technologisches labor mit erschütterungsschutz,NUF_3,technologisches labor mit erschutterungsschutz,technologisches labor mit erschütterungsschutz | technologisches labor mit erschutterungsschutz
33114,"technologisches labor mit zusätzlichen anforderungen,",NUF_3,"technologisches labor mit zusatzlichen anforderungen,","technologisches labor mit zusätzlichen anforderungen, | technologisches labor mit zusatzlichen anforderungen,"
33115,technologisches labor mit berstwänden,NUF_3,technologisches labor mit berstwanden,technologisches labor mit berstwänden | technologisches labor mit berstwanden
332,licht-/ schalltechnische labore,NUF_3,licht-/ schalltechnische labore,licht-/ schalltechnische labore | licht-/ schalltechnische labore
33211,lichttechnisches labor,NUF_3,lichttechnisches labor,lichttechnisches labor | lichttechnisches labor
33221,schalltechnisches labor,NUF_3,schalltechnisches labor,schalltechnisches labor | schalltechnisches labor
333,labor für mech. verfahrenstechnik,NUF_3,labor fur mech. verfahrenstechnik,labor für mech. verfahrenstechnik | labor fur mech. verfahrenstechnik
33311,labor für stationäre maschinen,NUF_3,labor fur stationare maschinen,labor für stationäre maschinen | labor fur stationare maschinen
334,kriminaltechnische labore,NUF_3,kriminaltechnische labore,kriminaltechnische labore | kriminaltechnische labore
33411,kriminaltechnisches labor,NUF_3,kriminaltechnisches labor,kriminaltechnisches labor | kriminaltechnisches labor
33412,kriminaltechnisches labor_täter/ opfer-raum,NUF_3,kriminaltechnisches labor_tater/ opfer-raum,kriminaltechnisches labor_täter/ opfer-raum | kriminaltechnisches labor_tater/ opfer-raum
341,elektrotechnik/ elektronische labore (raumlufttechnik standard),NUF_3,elektrotechnik/ elektronische labore (raumlufttechnik standard),elektrotechnik/ elektronische labore (raumlufttechnik standard) | elektrotechnik/ elektronische labore (raumlufttechnik standard)
34111,elektroniklabor mit rlt 2,NUF_3,elektroniklabor mit rlt 2,elektroniklabor mit rlt 2 | elektroniklabor mit rlt 2
34112,elektroniklabor mit rlt 2 und sondergase,NUF_3,elektroniklabor mit rlt 2 und sondergase,elektroniklabor mit rlt 2 und sondergase | elektroniklabor mit rlt 2 und sondergase
342,labore für physik,NUF_3,labore fur physik,labore für physik | labore fur physik
34211,physiklabor (einfaches physikalisches messlabor),NUF_3,physiklabor (einfaches physikalisches messlabor),physiklabor (einfaches physikalisches messlabor) | physiklabor (einfaches physikalisches messlabor)
34212,physiklabor mit bes. anforderungen,NUF_3,physiklabor mit bes. anforderungen,physiklabor mit bes. anforderungen | physiklabor mit bes. anforderungen
34213,physiklabor mit besonderen rlt anforderungen,NUF_3,physiklabor mit besonderen rlt anforderungen,physiklabor mit besonderen rlt anforderungen | physiklabor mit besonderen rlt anforderungen
34221,physiklabor und meßraum mit elektromagnetischer abschirmung,NUF_3,physiklabor und messraum mit elektromagnetischer abschirmung,physiklabor und meßraum mit elektromagnetischer abschirmung | physiklabor und messraum mit elektromagnetischer abschirmung
34222,physiklabor und meßraum mit erschütterungsschutz (nmr),NUF_3,physiklabor und messraum mit erschutterungsschutz (nmr),physiklabor und meßraum mit erschütterungsschutz (nmr) | physiklabor und messraum mit erschutterungsschutz (nmr)
34223,physiklabor und meßraum mit einfachem strahlenschutz,NUF_3,physiklabor und messraum mit einfachem strahlenschutz,physiklabor und meßraum mit einfachem strahlenschutz | physiklabor und messraum mit einfachem strahlenschutz
34224,physiklabor und meßraum mit erhöhtem strahlenschutz und rlt-anforderungen,NUF_3,physiklabor und messraum mit erhohtem strahlenschutz und rlt-anforderungen,physiklabor und meßraum mit erhöhtem strahlenschutz und rlt-anforderungen | physiklabor und messraum mit erhohtem strahlenschutz und rlt-anforderungen
34225,physiklabor (reinraum mit bes. rlt.-anf.),NUF_3,physiklabor (reinraum mit bes. rlt.-anf.),physiklabor (reinraum mit bes. rlt.-anf.) | physiklabor (reinraum mit bes. rlt.-anf.)
34231,physikalischer meßraum mit besonderen rlt-anforderungen,NUF_3,physikalischer messraum mit besonderen rlt-anforderungen,physikalischer meßraum mit besonderen rlt-anforderungen | physikalischer messraum mit besonderen rlt-anforderungen
34232,physikalischer meßraum mit besonderen rlt-anforderungen und medienversorgung,NUF_3,physikalischer messraum mit besonderen rlt-anforderungen und medienversorgung,physikalischer meßraum mit besonderen rlt-anforderungen und medienversorgung | physikalischer messraum mit besonderen rlt-anforderungen und medienversorgung
34233,physikalischer meß- und wägeraum mit dv (physikalischer meßraum),NUF_3,physikalischer mess- und wageraum mit dv (physikalischer messraum),physikalischer meß- und wägeraum mit dv (physikalischer meßraum) | physikalischer mess- und wageraum mit dv (physikalischer messraum)
34234,physikalischer meß- und wägeraum mit dv und rlt-anforderungen,NUF_3,physikalischer mess- und wageraum mit dv und rlt-anforderungen,physikalischer meß- und wägeraum mit dv und rlt-anforderungen | physikalischer mess- und wageraum mit dv und rlt-anforderungen
34241,kernphysiklabor mit dekontamination von abwasser und abluft,NUF_3,kernphysiklabor mit dekontamination von abwasser und abluft,kernphysiklabor mit dekontamination von abwasser und abluft | kernphysiklabor mit dekontamination von abwasser und abluft
351,"medizinische, biologische, chemische labore",NUF_3,"medizinische, biologische, chemische labore","medizinische, biologische, chemische labore | medizinische, biologische, chemische labore"
35121,anatomischer präparierraum,NUF_3,anatomischer praparierraum,anatomischer präparierraum | anatomischer praparierraum
35131,chemisch-technisches labor mit bes. rlt-anforderungen,NUF_3,chemisch-technisches labor mit bes. rlt-anforderungen,chemisch-technisches labor mit bes. rlt-anforderungen | chemisch-technisches labor mit bes. rlt-anforderungen
35132,chemisch-technisches labor mit bes. rlt-anf. und einf. strahlenschutz,NUF_3,chemisch-technisches labor mit bes. rlt-anf. und einf. strahlenschutz,chemisch-technisches labor mit bes. rlt-anf. und einf. strahlenschutz | chemisch-technisches labor mit bes. rlt-anf. und einf. strahlenschutz
35141,"zentrifugenraum, einfach",NUF_3,"zentrifugenraum, einfach","zentrifugenraum, einfach | zentrifugenraum, einfach"
352,labor für analytische und präparative chemie,NUF_3,labor fur analytische und praparative chemie,labor für analytische und präparative chemie | labor fur analytische und praparative chemie
35211,labor für analytische arbeiten,NUF_3,labor fur analytische arbeiten,labor für analytische arbeiten | labor fur analytische arbeiten
35212,labor für analytisch-/ präparativ-chemische arbeiten mit rlt 1,NUF_3,labor fur analytisch-/ praparativ-chemische arbeiten mit rlt 1,labor für analytisch-/ präparativ-chemische arbeiten mit rlt 1 | labor fur analytisch-/ praparativ-chemische arbeiten mit rlt 1
35213,labor für analytisch- /präparativ-chemische arbeiten mit rlt 2,NUF_3,labor fur analytisch- /praparativ-chemische arbeiten mit rlt 2,labor für analytisch- /präparativ-chemische arbeiten mit rlt 2 | labor fur analytisch- /praparativ-chemische arbeiten mit rlt 2
35214,labor für analytisch-/ präparativ-chemische arbeiten mit klimakonstanz und rlt 3,NUF_3,labor fur analytisch-/ praparativ-chemische arbeiten mit klimakonstanz und rlt 3,labor für analytisch-/ präparativ-chemische arbeiten mit klimakonstanz und rlt 3 | labor fur analytisch-/ praparativ-chemische arbeiten mit klimakonstanz und rlt 3
35215,kälte-labor,NUF_3,kalte-labor,kälte-labor | kalte-labor
353,biochemische labore ohne sicherheitsanforderungen gemäß gentsv,NUF_3,biochemische labore ohne sicherheitsanforderungen gemass gentsv,biochemische labore ohne sicherheitsanforderungen gemäß gentsv | biochemische labore ohne sicherheitsanforderungen gemass gentsv
35311,labor mit medienversorgung,NUF_3,labor mit medienversorgung,labor mit medienversorgung | labor mit medienversorgung
354,biochemische labore mit sicherheitsanforderungen gemäß gentsv,NUF_3,biochemische labore mit sicherheitsanforderungen gemass gentsv,biochemische labore mit sicherheitsanforderungen gemäß gentsv | biochemische labore mit sicherheitsanforderungen gemass gentsv
35411,labor mit zusätzlichen hygieneanforderungen,NUF_3,labor mit zusatzlichen hygieneanforderungen,labor mit zusätzlichen hygieneanforderungen | labor mit zusatzlichen hygieneanforderungen
35412,labor mit zusätzlichen hygieneanforderungen und medienversorgung,NUF_3,labor mit zusatzlichen hygieneanforderungen und medienversorgung,labor mit zusätzlichen hygieneanforderungen und medienversorgung | labor mit zusatzlichen hygieneanforderungen und medienversorgung
35413,labor mit zusätzlichen hygienischen und besonderen rlt-anforderungen,NUF_3,labor mit zusatzlichen hygienischen und besonderen rlt-anforderungen,labor mit zusätzlichen hygienischen und besonderen rlt-anforderungen | labor mit zusatzlichen hygienischen und besonderen rlt-anforderungen
35421,"labor mit besonderen hygieneanforderungen, zugang über schleuse ...",NUF_3,"labor mit besonderen hygieneanforderungen, zugang uber schleuse ...","labor mit besonderen hygieneanforderungen, zugang über schleuse ... | labor mit besonderen hygieneanforderungen, zugang uber schleuse ..."
35422,labor m. bes. hygieneanf. / rlt-anf. u. schleuse,NUF_3,labor m. bes. hygieneanf. / rlt-anf. u. schleuse,labor m. bes. hygieneanf. / rlt-anf. u. schleuse | labor m. bes. hygieneanf. / rlt-anf. u. schleuse
35423,labor m. bes. hygieneanf./ sep. rlt-anlage u. schleuse (s3),NUF_3,labor m. bes. hygieneanf./ sep. rlt-anlage u. schleuse (s3),labor m. bes. hygieneanf./ sep. rlt-anlage u. schleuse (s3) | labor m. bes. hygieneanf./ sep. rlt-anlage u. schleuse (s3)
355,isotopenlabore,NUF_3,isotopenlabore,isotopenlabore | isotopenlabore
35511,isotopenlabor mit dekontamination von abwasser und abluft,NUF_3,isotopenlabor mit dekontamination von abwasser und abluft,isotopenlabor mit dekontamination von abwasser und abluft | isotopenlabor mit dekontamination von abwasser und abluft
35512,isotopenlabor mit bes. baukonstruktiven und rlt-anforderungen mit schleuse,NUF_3,isotopenlabor mit bes. baukonstruktiven und rlt-anforderungen mit schleuse,isotopenlabor mit bes. baukonstruktiven und rlt-anforderungen mit schleuse | isotopenlabor mit bes. baukonstruktiven und rlt-anforderungen mit schleuse
35513,isotopenlabor mit dekontamination von abwasser u. abluft u.bes. rlt-anforderungen,NUF_3,isotopenlabor mit dekontamination von abwasser u. abluft u.bes. rlt-anforderungen,isotopenlabor mit dekontamination von abwasser u. abluft u.bes. rlt-anforderungen | isotopenlabor mit dekontamination von abwasser u. abluft u.bes. rlt-anforderungen
35514,isotopenlabor mit erhöhten baukonstruktiven und rlt-anforderungen mit schleuse,NUF_3,isotopenlabor mit erhohten baukonstruktiven und rlt-anforderungen mit schleuse,isotopenlabor mit erhöhten baukonstruktiven und rlt-anforderungen mit schleuse | isotopenlabor mit erhohten baukonstruktiven und rlt-anforderungen mit schleuse
356,brut-und nährbodenräume,NUF_3,brut-und nahrbodenraume,brut-und nährbodenräume | brut-und nahrbodenraume
35611,brutschrankraum,NUF_3,brutschrankraum,brutschrankraum | brutschrankraum
35621,klimakammer,NUF_3,klimakammer,klimakammer | klimakammer
361,stallräume für nutztiere,NUF_3,stallraume fur nutztiere,stallräume für nutztiere | stallraume fur nutztiere
36111,raum für stallhaltung,NUF_3,raum fur stallhaltung,raum für stallhaltung | raum fur stallhaltung
362,stallräume für versuchs- und kranke tiere,NUF_3,stallraume fur versuchs- und kranke tiere,stallräume für versuchs- und kranke tiere | stallraume fur versuchs- und kranke tiere
36211,raum für stallhaltung,NUF_3,raum fur stallhaltung,raum für stallhaltung | raum fur stallhaltung
36221,tierhaltung experimentell,NUF_3,tierhaltung experimentell,tierhaltung experimentell | tierhaltung experimentell
36222,tierhaltung experimentell mit rlt 3,NUF_3,tierhaltung experimentell mit rlt 3,tierhaltung experimentell mit rlt 3 | tierhaltung experimentell mit rlt 3
363,räume für käfighaltung,NUF_3,raume fur kafighaltung,räume für käfighaltung | raume fur kafighaltung
36311,raum für käfighaltung,NUF_3,raum fur kafighaltung,raum für käfighaltung | raum fur kafighaltung
36321,hundzwinger,NUF_3,hundzwinger,hundzwinger | hundzwinger
36322,laufgang,NUF_3,laufgang,laufgang | laufgang
364,käfighaltung von versuchs- und kranken tieren,NUF_3,kafighaltung von versuchs- und kranken tieren,käfighaltung von versuchs- und kranken tieren | kafighaltung von versuchs- und kranken tieren
36411,käfighaltung,NUF_3,kafighaltung,käfighaltung | kafighaltung
36412,käfighaltung mit rlt 3,NUF_3,kafighaltung mit rlt 3,käfighaltung mit rlt 3 | kafighaltung mit rlt 3
36421,käfighaltung mit rlt-anforderungen,NUF_3,kafighaltung mit rlt-anforderungen,käfighaltung mit rlt-anforderungen | kafighaltung mit rlt-anforderungen
36423,käfighaltung mit rlt-anforderungen und einfachem strahlenschutz,NUF_3,kafighaltung mit rlt-anforderungen und einfachem strahlenschutz,käfighaltung mit rlt-anforderungen und einfachem strahlenschutz | kafighaltung mit rlt-anforderungen und einfachem strahlenschutz
36431,käfighaltung spf mit schleuse für ivc,NUF_3,kafighaltung spf mit schleuse fur ivc,käfighaltung spf mit schleuse für ivc | kafighaltung spf mit schleuse fur ivc
36432,käfighaltung spf mit schleuse (hochhyginische mit bes. rlt-anforderungen),NUF_3,kafighaltung spf mit schleuse (hochhyginische mit bes. rlt-anforderungen),käfighaltung spf mit schleuse (hochhyginische mit bes. rlt-anforderungen) | kafighaltung spf mit schleuse (hochhyginische mit bes. rlt-anforderungen)
365,räume für beckenhaltung,NUF_3,raume fur beckenhaltung,räume für beckenhaltung | raume fur beckenhaltung
36511,raum für beckenhaltung,NUF_3,raum fur beckenhaltung,raum für beckenhaltung | raum fur beckenhaltung
366,tierpflege- und futteraufbereitungsräume,NUF_3,tierpflege- und futteraufbereitungsraume,tierpflege- und futteraufbereitungsräume | tierpflege- und futteraufbereitungsraume
36611,tierpflegeraum,NUF_3,tierpflegeraum,tierpflegeraum | tierpflegeraum
36612,tierpflegeraum mit rlt 1,NUF_3,tierpflegeraum mit rlt 1,tierpflegeraum mit rlt 1 | tierpflegeraum mit rlt 1
36613,wärmetherapie / solarium mit rlt1,NUF_3,warmetherapie / solarium mit rlt1,wärmetherapie / solarium mit rlt1 | warmetherapie / solarium mit rlt1
36614,tierpflegeraum/quarantäne,NUF_3,tierpflegeraum/quarantane,tierpflegeraum/quarantäne | tierpflegeraum/quarantane
36615,raum für nassreinigung tiere,NUF_3,raum fur nassreinigung tiere,raum für nassreinigung tiere | raum fur nassreinigung tiere
36621,"futteraufbereitungsraum, einfache ausführung",NUF_3,"futteraufbereitungsraum, einfache ausfuhrung","futteraufbereitungsraum, einfache ausführung | futteraufbereitungsraum, einfache ausfuhrung"
36622,futteraufbereitungsraum,NUF_3,futteraufbereitungsraum,futteraufbereitungsraum | futteraufbereitungsraum
367,milch-/melkräume,NUF_3,milch-/melkraume,milch-/melkräume | milch-/melkraume
36711,melkraum,NUF_3,melkraum,melkraum | melkraum
371,gewächshausräume,NUF_3,gewachshausraume,gewächshausräume | gewachshausraume
37111,gewächshaus,NUF_3,gewachshaus,gewächshaus | gewachshaus
37112,gewächshaus mit rlt1,NUF_3,gewachshaus mit rlt1,gewächshaus mit rlt1 | gewachshaus mit rlt1
37113,pflanzenzuchtvorbereitungsraum,NUF_3,pflanzenzuchtvorbereitungsraum,pflanzenzuchtvorbereitungsraum | pflanzenzuchtvorbereitungsraum
37114,gewächshaus mit pflanztischen,NUF_3,gewachshaus mit pflanztischen,gewächshaus mit pflanztischen | gewachshaus mit pflanztischen
372,gewächshausräume experimentel,NUF_3,gewachshausraume experimentel,gewächshausräume experimentel | gewachshausraume experimentel
37211,gewächshaus experimentell mit besonderen klimatischen anforderungen und rlt3,NUF_3,gewachshaus experimentell mit besonderen klimatischen anforderungen und rlt3,gewächshaus experimentell mit besonderen klimatischen anforderungen und rlt3 | gewachshaus experimentell mit besonderen klimatischen anforderungen und rlt3
37212,pflanzenzuchtraum experimentell (raum mit klimakammern bestückt),NUF_3,pflanzenzuchtraum experimentell (raum mit klimakammern bestuckt),pflanzenzuchtraum experimentell (raum mit klimakammern bestückt) | pflanzenzuchtraum experimentell (raum mit klimakammern bestuckt)
37213,"klimakammer,rlt 2",NUF_3,"klimakammer,rlt 2","klimakammer,rlt 2 | klimakammer,rlt 2"
373,gewächshausräume mit sicherheitsanforderungen gemäß gentsv,NUF_3,gewachshausraume mit sicherheitsanforderungen gemass gentsv,gewächshausräume mit sicherheitsanforderungen gemäß gentsv | gewachshausraume mit sicherheitsanforderungen gemass gentsv
37311,gewächshausraum s1,NUF_3,gewachshausraum s1,gewächshausraum s1 | gewachshausraum s1
374,räume für pilzkulturen,NUF_3,raume fur pilzkulturen,räume für pilzkulturen | raume fur pilzkulturen
37411,pilzzuchtraum,NUF_3,pilzzuchtraum,pilzzuchtraum | pilzzuchtraum
381,"voll- und teilküchen, backräume",NUF_3,"voll- und teilkuchen, backraume","voll- und teilküchen, backräume | voll- und teilkuchen, backraume"
38111,"großküche mit sonderabsaugung, lüftungsdecke und rlt 1",NUF_3,"grosskuche mit sonderabsaugung, luftungsdecke und rlt 1","großküche mit sonderabsaugung, lüftungsdecke und rlt 1 | grosskuche mit sonderabsaugung, luftungsdecke und rlt 1"
38112,regenerierküche (cook and chill) mit rlt 2,NUF_3,regenerierkuche (cook and chill) mit rlt 2,regenerierküche (cook and chill) mit rlt 2 | regenerierkuche (cook and chill) mit rlt 2
38121,küchen zur speiseerwärmung mit rlt 1,NUF_3,kuchen zur speiseerwarmung mit rlt 1,küchen zur speiseerwärmung mit rlt 1 | kuchen zur speiseerwarmung mit rlt 1
38131,backraum mit sonderabsaugung und rlt 1,NUF_3,backraum mit sonderabsaugung und rlt 1,backraum mit sonderabsaugung und rlt 1 | backraum mit sonderabsaugung und rlt 1
382,vorbereitungsräume,NUF_3,vorbereitungsraume,vorbereitungsräume | vorbereitungsraume
38211,küchenvorbereitungsraum mit lüftungsdecke und rlt 1,NUF_3,kuchenvorbereitungsraum mit luftungsdecke und rlt 1,küchenvorbereitungsraum mit lüftungsdecke und rlt 1 | kuchenvorbereitungsraum mit luftungsdecke und rlt 1
383,speise-/ getränkeausgaben,NUF_3,speise-/ getrankeausgaben,speise-/ getränkeausgaben | speise-/ getrankeausgaben
38311,speiseausgabe/ getränkeausgabe mit sonderabsaugung und rlt 1,NUF_3,speiseausgabe/ getrankeausgabe mit sonderabsaugung und rlt 1,speiseausgabe/ getränkeausgabe mit sonderabsaugung und rlt 1 | speiseausgabe/ getrankeausgabe mit sonderabsaugung und rlt 1
384,geschirrrückgaben/ -spülräume in küchen,NUF_3,geschirrruckgaben/ -spulraume in kuchen,geschirrrückgaben/ -spülräume in küchen | geschirrruckgaben/ -spulraume in kuchen
38411,geschirrrückgabe,NUF_3,geschirrruckgabe,geschirrrückgabe | geschirrruckgabe
38421,"spülküche mit rückgabeband, lüftungsdecke und rlt 1",NUF_3,"spulkuche mit ruckgabeband, luftungsdecke und rlt 1","spülküche mit rückgabeband, lüftungsdecke und rlt 1 | spulkuche mit ruckgabeband, luftungsdecke und rlt 1"
38422,spülraum in küchen mit lüftungsdecke und rlt 1,NUF_3,spulraum in kuchen mit luftungsdecke und rlt 1,spülraum in küchen mit lüftungsdecke und rlt 1 | spulraum in kuchen mit luftungsdecke und rlt 1
38423,wagenwäsche für küche mit rlt 1,NUF_3,wagenwasche fur kuche mit rlt 1,wagenwäsche für küche mit rlt 1 | wagenwasche fur kuche mit rlt 1
391,hauswirtschafts- und hausarbeitsräume,NUF_3,hauswirtschafts- und hausarbeitsraume,hauswirtschafts- und hausarbeitsräume | hauswirtschafts- und hausarbeitsraume
39111,hauswirtschaftsraum,NUF_3,hauswirtschaftsraum,hauswirtschaftsraum | hauswirtschaftsraum
39121,hauswirtschaftsraum schule,NUF_3,hauswirtschaftsraum schule,hauswirtschaftsraum schule | hauswirtschaftsraum schule
392,räume für wäschepflege/ wäscherei,NUF_3,raume fur waschepflege/ wascherei,räume für wäschepflege/ wäscherei | raume fur waschepflege/ wascherei
39211,wäschereiraum,NUF_3,waschereiraum,wäschereiraum | waschereiraum
39212,wäschereiraum mit sonderabsaugung und rlt 1,NUF_3,waschereiraum mit sonderabsaugung und rlt 1,wäschereiraum mit sonderabsaugung und rlt 1 | waschereiraum mit sonderabsaugung und rlt 1
39213,stiefelwaschraum mit rlt 1,NUF_3,stiefelwaschraum mit rlt 1,stiefelwaschraum mit rlt 1 | stiefelwaschraum mit rlt 1
39214,"gesundheitswäscherei, raumklasse ii",NUF_3,"gesundheitswascherei, raumklasse ii","gesundheitswäscherei, raumklasse ii | gesundheitswascherei, raumklasse ii"
39221,wäschepflegeraum,NUF_3,waschepflegeraum,wäschepflegeraum | waschepflegeraum
39222,wäschepflegeraum mit waschbecken,NUF_3,waschepflegeraum mit waschbecken,wäschepflegeraum mit waschbecken | waschepflegeraum mit waschbecken
39223,"wäschepflegeraum mit waschbecken, sonderabsaugung und rlt 1",NUF_3,"waschepflegeraum mit waschbecken, sonderabsaugung und rlt 1","wäschepflegeraum mit waschbecken, sonderabsaugung und rlt 1 | waschepflegeraum mit waschbecken, sonderabsaugung und rlt 1"
39231,trocknungsraum für kleidung mit rlt 2,NUF_3,trocknungsraum fur kleidung mit rlt 2,trocknungsraum für kleidung mit rlt 2 | trocknungsraum fur kleidung mit rlt 2
393,desinfektions-/ sterilisationsräume von labor- und medizinischem gerät,NUF_3,desinfektions-/ sterilisationsraume von labor- und medizinischem gerat,desinfektions-/ sterilisationsräume von labor- und medizinischem gerät | desinfektions-/ sterilisationsraume von labor- und medizinischem gerat
39311,instrumentenreinigungsraum mit rlt 1,NUF_3,instrumentenreinigungsraum mit rlt 1,instrumentenreinigungsraum mit rlt 1 | instrumentenreinigungsraum mit rlt 1
39312,aufbereitungsraum für medizintechnisches gerät mit rlt 1,NUF_3,aufbereitungsraum fur medizintechnisches gerat mit rlt 1,aufbereitungsraum für medizintechnisches gerät mit rlt 1 | aufbereitungsraum fur medizintechnisches gerat mit rlt 1
39313,sterilisationsraum mit sonderabsaugung und rlt 1,NUF_3,sterilisationsraum mit sonderabsaugung und rlt 1,sterilisationsraum mit sonderabsaugung und rlt 1 | sterilisationsraum mit sonderabsaugung und rlt 1
39314,"zentralsterilisation, raumklasse ii",NUF_3,"zentralsterilisation, raumklasse ii","zentralsterilisation, raumklasse ii | zentralsterilisation, raumklasse ii"
39315,geräteaufbereitung und -lager; raumklasse ii (op-bereich),NUF_3,gerateaufbereitung und -lager; raumklasse ii (op-bereich),geräteaufbereitung und -lager; raumklasse ii (op-bereich) | gerateaufbereitung und -lager; raumklasse ii (op-bereich)
39321,käfigreinigung manuell mit rlt 1,NUF_3,kafigreinigung manuell mit rlt 1,käfigreinigung manuell mit rlt 1 | kafigreinigung manuell mit rlt 1
39322,"käfigdesinfektion maschinell, rein, mit rlt 3",NUF_3,"kafigdesinfektion maschinell, rein, mit rlt 3","käfigdesinfektion maschinell, rein, mit rlt 3 | kafigdesinfektion maschinell, rein, mit rlt 3"
39323,"käfigdesinfektion maschinell, unrein, rlt1",NUF_3,"kafigdesinfektion maschinell, unrein, rlt1","käfigdesinfektion maschinell, unrein, rlt1 | kafigdesinfektion maschinell, unrein, rlt1"
394,spül-/ reinigungsräume,NUF_3,spul-/ reinigungsraume,spül-/ reinigungsräume | spul-/ reinigungsraume
39411,pferdezubehör/melkzubehör,NUF_3,pferdezubehor/melkzubehor,pferdezubehör/melkzubehör | pferdezubehor/melkzubehor
39421,spülraum im labor mit rlt 3,NUF_3,spulraum im labor mit rlt 3,spülraum im labor mit rlt 3 | spulraum im labor mit rlt 3
39422,spülraum mit strahlenschutz und rlt 3,NUF_3,spulraum mit strahlenschutz und rlt 3,spülraum mit strahlenschutz und rlt 3 | spulraum mit strahlenschutz und rlt 3
395,räume für bettenaufbereitung/ -reinigung/ -desinfektion,NUF_3,raume fur bettenaufbereitung/ -reinigung/ -desinfektion,räume für bettenaufbereitung/ -reinigung/ -desinfektion | raume fur bettenaufbereitung/ -reinigung/ -desinfektion
39511,bettenreinigung manuell mit rlt 1,NUF_3,bettenreinigung manuell mit rlt 1,bettenreinigung manuell mit rlt 1 | bettenreinigung manuell mit rlt 1
39512,bettendesinfektion maschinell mit rlt 1,NUF_3,bettendesinfektion maschinell mit rlt 1,bettendesinfektion maschinell mit rlt 1 | bettendesinfektion maschinell mit rlt 1
39521,bettenaufbereitungsraum mit rlt 1,NUF_3,bettenaufbereitungsraum mit rlt 1,bettenaufbereitungsraum mit rlt 1 | bettenaufbereitungsraum mit rlt 1
396,pflegearbeitsräume,NUF_3,pflegearbeitsraume,pflegearbeitsräume | pflegearbeitsraume
39611,"pflegearbeitsraum rein, mit rlt 1",NUF_3,"pflegearbeitsraum rein, mit rlt 1","pflegearbeitsraum rein, mit rlt 1 | pflegearbeitsraum rein, mit rlt 1"
39612,"pflegearbeitsraum unrein, mit rlt 1",NUF_3,"pflegearbeitsraum unrein, mit rlt 1","pflegearbeitsraum unrein, mit rlt 1 | pflegearbeitsraum unrein, mit rlt 1"
39613,pflegestützpunkt mit rlt 1,NUF_3,pflegestutzpunkt mit rlt 1,pflegestützpunkt mit rlt 1 | pflegestutzpunkt mit rlt 1
39614,pflegearbeitsraum rein mit bes. hygienischen anf. und rlt 3,NUF_3,pflegearbeitsraum rein mit bes. hygienischen anf. und rlt 3,pflegearbeitsraum rein mit bes. hygienischen anf. und rlt 3 | pflegearbeitsraum rein mit bes. hygienischen anf. und rlt 3
39615,"pflegearbeitsraum unrein mit strahlenschutz, sonderabsaugung",NUF_3,"pflegearbeitsraum unrein mit strahlenschutz, sonderabsaugung","pflegearbeitsraum unrein mit strahlenschutz, sonderabsaugung | pflegearbeitsraum unrein mit strahlenschutz, sonderabsaugung"
397,vorbereitungsräume,NUF_3,vorbereitungsraume,vorbereitungsräume | vorbereitungsraume
39711,geräteraum labor,NUF_3,gerateraum labor,geräteraum labor | gerateraum labor
39712,vorbereitungsraum mit labortech. einrichtungen und rlt 1,NUF_3,vorbereitungsraum mit labortech. einrichtungen und rlt 1,vorbereitungsraum mit labortech. einrichtungen und rlt 1 | vorbereitungsraum mit labortech. einrichtungen und rlt 1
39713,"vorbereitungsraum labor mit strahlenschutz, sonderabsaugung",NUF_3,"vorbereitungsraum labor mit strahlenschutz, sonderabsaugung","vorbereitungsraum labor mit strahlenschutz, sonderabsaugung | vorbereitungsraum labor mit strahlenschutz, sonderabsaugung"
39721,vorbereitungsraum geisteswissenschaft,NUF_3,vorbereitungsraum geisteswissenschaft,vorbereitungsraum geisteswissenschaft | vorbereitungsraum geisteswissenschaft
39722,vorbereitungsraum naturwissenschaft,NUF_3,vorbereitungsraum naturwissenschaft,vorbereitungsraum naturwissenschaft | vorbereitungsraum naturwissenschaft
411,"lager- und vorratsräume für material, gerät und waren",NUF_4,"lager- und vorratsraume fur material, gerat und waren","lager- und vorratsräume für material, gerät und waren | lager- und vorratsraume fur material, gerat und waren"
41111,einfacher lagerraum,NUF_4,einfacher lagerraum,einfacher lagerraum | einfacher lagerraum
41112,lagerraum,NUF_4,lagerraum,lagerraum | lagerraum
41113,lagerraum mit rlt 1,NUF_4,lagerraum mit rlt 1,lagerraum mit rlt 1 | lagerraum mit rlt 1
41114,lagerraum mit rlt 3,NUF_4,lagerraum mit rlt 3,lagerraum mit rlt 3 | lagerraum mit rlt 3
41115,lagerraum mit bes. tech. anforderungen,NUF_4,lagerraum mit bes. tech. anforderungen,lagerraum mit bes. tech. anforderungen | lagerraum mit bes. tech. anforderungen
41116,lagerraum für putzmittel,NUF_4,lagerraum fur putzmittel,lagerraum für putzmittel | lagerraum fur putzmittel
